ValidTime,gep1,gep2,gep3,gep4,gep5,gep6,gep7,gep8,gep9,gep10,gep11,gep12,gep13,gep14,gep15,gep16,gep17,gep18,gep19,gep20
2017-09-27 06:00:00,74.9299621582,75.8299865723,77.6299743652,76.1899719238,75.2900085449,76.3700256348,75.6499328613,75.2900085449,76.1899719238,77.6299743652,75.8299865723,75.109954834,77.0899963379,76.3700256348,77.4499816895,76.5499572754,76.5499572754,76.3700256348,77.2699890137,77.2699890137
2017-09-27 12:00:00,75.109954834,75.8299865723,77.990020752,76.3700256348,75.4700012207,76.9100036621,75.8299865723,75.2900085449,76.5499572754,78.1700134277,76.009979248,75.2900085449,77.4499816895,76.3700256348,77.809967041,76.7299499512,76.5499572754,76.7299499512,77.809967041,77.6299743652
2017-09-27 18:00:00,77.6299743652,78.1700134277,78.1700134277,79.2499694824,80.3299865723,79.0699768066,79.609954834,78.8899841309,79.0699768066,77.809967041,81.0499572754,80.3299865723,75.6499328613,81.5899963379,75.2900085449,77.809967041,77.2699890137,79.0699768066,79.4299621582,79.0699768066
2017-09-28 00:00:00,82.490020752,81.9499816895,79.9700012207,79.4299621582,83.0299987793,80.8700256348,83.2099914551,79.9700012207,81.4100036621,82.8499450684,84.109954834,83.0299987793,80.3299865723,85.1899719238,79.9700012207,82.309967041,82.309967041,82.6700134277,80.509979248,81.5899963379
2017-09-28 06:00:00,78.7099914551,78.5299987793,77.2699890137,76.5499572754,78.8899841309,78.5299987793,79.0699768066,76.1899719238,77.809967041,79.0699768066,79.4299621582,77.2699890137,77.6299743652,80.1499328613,77.4499816895,78.7099914551,78.7099914551,78.8899841309,77.809967041,77.6299743652
2017-09-28 12:00:00,72.0499572754,72.7699890137,72.7699890137,72.4100036621,72.2299499512,72.9499816895,72.0499572754,71.8700256348,71.8700256348,73.490020752,72.5899963379,71.1499328613,72.4100036621,72.9499816895,71.509979248,73.490020752,71.3299865723,72.4100036621,72.0499572754,71.3299865723
2017-09-28 18:00:00,80.509979248,80.8700256348,80.3299865723,77.0899963379,82.1299743652,81.4100036621,80.6899719238,75.4700012207,80.6899719238,82.1299743652,80.6899719238,77.6299743652,81.2299499512,81.2299499512,80.3299865723,81.7699890137,80.3299865723,81.5899963379,81.9499816895,80.8700256348
2017-09-29 00:00:00,83.2099914551,83.7499694824,83.5699768066,78.1700134277,84.6499328613,84.2900085449,84.109954834,78.7099914551,83.0299987793,83.5699768066,82.8499450684,82.1299743652,83.5699768066,83.7499694824,82.6700134277,83.7499694824,83.3899841309,85.1899719238,84.6499328613,83.9299621582
2017-09-29 06:00:00,79.7900085449,78.5299987793,78.3499450684,75.2900085449,80.509979248,80.1499328613,80.3299865723,74.2099914551,78.7099914551,76.7299499512,78.7099914551,77.809967041,79.4299621582,79.609954834,78.8899841309,79.0699768066,78.7099914551,80.3299865723,78.3499450684,79.9700012207
2017-09-29 12:00:00,72.9499816895,72.5899963379,72.2299499512,71.8700256348,73.6700134277,73.8499450684,74.2099914551,70.7900085449,72.0499572754,72.4100036621,72.5899963379,72.4100036621,71.8700256348,73.8499450684,73.1299743652,73.8499450684,73.1299743652,74.3899841309,73.309967041,72.9499816895
